Rank	Count	ID	Name	Description			Group			
137	2	gb	EU086834	+	88-898	ARO:3001767	Beta-lactamase	OXA-137	OXA-137	OXA-137 is a beta-lactamase found in Brachyspira spp.
138	2	gb	AY070258	+	0-861	ARO:3001093	AMR genes detected in K.pneumoniae	SHV-35	SHV-35	SHV-35 is a beta-lactamase found in Klebsiella pneumoniae.
139	2	gb	HQ661363	+	71-932	ARO:3001181	Beta-lactamase	SHV-137	SHV-137	SHV-137 is a beta-lactamase.
140	2	gb	HE614014	+	0-825	ARO:3001503	Beta-lactamase	OXA-258	OXA-258	OXA-258 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.
141	2	gb	AJ295341	+	0-1173	ARO:3002516	Beta-lactamase	OCH-3	OCH-3	OCH-3 beta-lactamase is an Ambler class C chromosomal-encoded beta-lactamases in Ochrobactrum anthropi
142	2	gb	EU250284	+	3557-4658	ARO:3002974	Glycopeptide resistance	vanTrL	vanTrL	vanTrL is a vanT variant found in the vanL gene cluster. vanTrL codes for the racemase component of vanT
143	2	gb	NC_007907	-	4201992-4202691	ARO:3003728	Glycopeptide resistance	VanRI	vanRI	VanRI is the regulatory transcriptional activator in the VanSR regulator within the VanI glycopeptide resistance gene cluster.
144	2	gb	X05648	+	381-1305	ARO:3002658	Aminoglycoside resistance	APH(6)-Ib	APH(6)-Ib	APH(6)-Ib is a chromosomal-encoded aminoglycoside phosphotransferase in S. glaucescens
145	2	gb	CP000768	+	1406494-1409617	ARO:3000784	Multidrug efflux pump	cmeB	cmeB	CmeB is the inner membrane transporter the CmeABC multidrug efflux complex.
146	2	gb	AY261375	+	0-765	ARO:3003104	Beta-lactamase	cphA8	cphA8	cphA8 is an Ambler Class B MBL; subclass B2 originally isolated from Aeromonas sobria. This enzyme has specific activity against carbapenems and is active as a mono-zinc protein.
147	2	gb	X80277	+	0-1149	ARO:3003553	Beta-lactamase	CepS	CepS beta-lactamase	CEP is a typical class C cephalosporinase found in Aeromonas sobria
148	2	gb	X62867	+	360-1197	ARO:3001305	Lincosamide resistance	ErmU	ErmU	"ErmU is a methyltransferase found in the lincomycin producer Streptomyces lincolnensis. Like other Erm enzymes, it catalyzes the methylation of A2058 of the 23S ribosomal RNA. Specifically, this enzyme transfers only one methyl group. The gene is found in the lincomycin biosynthetic cluster and is responsible for self-resistance."
149	2	gb	AY769933	+	0-966	ARO:3003005	Beta-lactamase	CfxA4	CfxA4	cfxA4 beta-lactamase is a class A beta-lactamase found in Bacteroides fragilis
150	2	gb	AF173226	+	6913-8329	ARO:3003053	Multidrug efflux pump	smeC	smeC	smeC is an outer membrane multidrug efflux protein of the smeABC complex in Stenotrophomonas maltophilia
151	2	gb	AB205197	+	3-876	ARO:3001924	Beta-lactamase	CTX-M-63	CTX-M-63	CTX-M-63 is a beta-lactamase found in Salmonella enterica
152	2	gb	X98101	+	73-934	ARO:3001070	Beta-lactamase	SHV-11	SHV-11	"SHV-11 is a broad-spectrum beta-lactamase found in E. coli, Klebsiella pneumoniae, Proteus mirabilis, and Shigella dysenteriae."
153	2	gb	AY171578	+	0-564	ARO:3000167	tetracycline resistance	tetC	tetC	Tet(C) is a tetracycline efflux pump found in many species of Gram-negative bacteria. It is typically found in plasmid DNA.
154	2	gb	NC_010410	-	3676915-3677389	ARO:3002854	trimethoprim resistance	dfrA1	dfrA1	dfrA1 is an integron-encoded dihydrofolate reductase found in Escherichia coli
155	2	gb	JX013655	+	0-861	ARO:3001185	Beta-lactamase	SHV-145	SHV-145	SHV-145 is a beta-lactamase.
156	2	gb	DQ174308	+	4-865	ARO:3001123	AMR genes detected in K.pneumoniae	SHV-69	SHV-69	SHV-69 is a beta-lactamase found in Klebsiella pneumoniae.
157	2	gb	AJ223970	+	796-2050	ARO:3000463	Macrolide resistance	gimA	gimA glycosyltransferase	"gimA gene codes for a glycosyltransferase found in Streptomyces ambofaciens, natural producer of macrolide spiramycin. Chalcomycin, methymycin, tylosin, pikromycin, rosaramicin, oleandomycin, josamycin, and carbomycin are preferred substrates of gimA glycosyltransferase, while erythromycin and spiramycin have notably low binding affinities. GimA may be able to inactivate spiramycin precursors."
158	2	gb	U97042	+	0-1218	ARO:3003009	Multidrug efflux pump	ceoA	ceoA	ceoA is a periplasmic linker subunit of the CeoAB-OpcM efflux pump
159	2	gb	NC_002516	-	779462-780101	ARO:3002679	chloramphenicol resistance	catB7	catB7	catB7 is a chromosome-encoded variant of the cat gene found in Pseudomonas aeruginosa
160	2	gb	AJ250876	+	36-987	ARO:3000851	Beta-lactamase	THIN-B	THIN-B beta-lactamase	"THIN-B, isolated from Janthinobacterium lividum, hydrolyzes a broad spectrum of beta-lactams including penicillins, cephalosporins, and carbapenems."
161	2	gb	D78168	+	536-1592	ARO:3000206	tetracycline resistance	emrK	emrK	"emrK is a membrane fusion protein that is a homolog of EmrA. Together with the inner membrane transporter EmrY and the outer membrane channel TolC, it mediates multidrug efflux."
162	2	gb	JX486113	+	0-795	ARO:3002668	Aminoglycoside resistance	rmtG	rmtG	RmtG is a 16S rRNA methyltransferase found in Pseudomonas aeruginosa which methylates G1405 of the 16S rRNA. It confers high level resistance to many aminoglycosides.
163	2	gb	AF208796	+	0-861	ARO:3001083	AMR genes detected in K.pneumoniae	SHV-25	SHV-25	SHV-25 is a broad-spectrum beta-lactamase found in Klebsiella pneumoniae.
164	2	gb	DQ195536	+	0-1248	ARO:3000865	Macrolide resistance	oleD	oleD	"OleD is a glycotransferase found in Streptomyces antibioticus, a natural producer  of oleandomycin. OleD can glycosylate a wide range of macrolides. Unlike oleI, oleD is not found in the oleandomycin biosynthetic cluster."
165	2	gb	EU250284	+	4730-5426	ARO:3002927	Glycopeptide resistance	vanRL	vanRL	vanRL is a vanR variant found in the vanL gene cluster
166	2	gb	AM180355	+	600033-601953	ARO:3000186	tetracycline resistance	tetM	tetM	TetM is a ribosomal protection protein that confers tetracycline resistance. It is found on transposable DNA elements and its horizontal transfer between bacterial species has been documented.
167	2	gb	AP009048	-	3980025-3981183	ARO:3000795	Multidrug efflux pump	mdtE	mdtE	MdtE is the membrane fusion protein of the MdtEF multidrug efflux complex. It shares 70% sequence similarity with AcrA.
168	2	gb	NC_003888	+	3968821-3969814	ARO:3002914	Glycopeptide resistance	vanJ	vanJ	vanJ is a novel membrane protein that confers resistance to teicoplanin and its derivatives in Streptomyces coelicolor by recycling undecaprenol pyrophosphate during cell wall biosynthesis.
169	2	gb	X51891	+	189-1335	ARO:3000326	Macrolide resistance	ErmE	ErmE	"ErmE is a methyltransferase found in the erythromycin producer Saccharopolyspora erythraea. Like other Erm enzymes, it catalyzes the methylation of A2058 of the 23S ribosomal RNA. The gene is found within the erythromycin biosynthetic cluster and is responsible for self-resistance."
170	1	gb	U57969	+	294-1458	ARO:3000800	Multidrug efflux pump	mexC	mexC	MexC is the membrane fusion protein of the MexCD-OprJ multidrug efflux complex.
171	1	gb	JX121123	+	0-861	ARO:3001195	Beta-lactamase	SHV-156	SHV-156	SHV-156 is a beta-lactamase.
172	1	gb	AF079762.1	+	3624-6054	ARO:3001293	Macrolide resistance	desR	desR	B-Glycosidase involved in Streptomyces venezuelae self-resistance. This organism produces pikromycin/narbomycin/methymycin/neomethymycin which are inactivated by a glucosyltransferase inside the cell. DesR is a secreted enzyme that re-activates the antibiotic by removing the glucose once it is pumped out of the cell.
173	1	gb	AB916359	+	793-1708	ARO:3002008	Beta-lactamase	CTX-M-151	CTX-M-151	CTX-M-151 is a beta-lactamase. From the Lahey list of CTX-M beta-lactamases.
174	1	gb	JX259320	+	0-681	ARO:3002772	Fluoroquinolone resistance	QnrB59	QnrB59	QnrB59 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii
175	1	gb	AY028464	+	442-1189	ARO:3000840	Beta-lactamase	JOHN-1	JOHN-1 beta-lactamase	JOHN-1 is an Ambler class B carbapenem-hydrolysing beta-lactamase from Flavobacterium johnsoniae.
176	1	gb	AY036620	+	88-949	ARO:3001092	Beta-lactamase	SHV-34	SHV-34	SHV-34 is an extended-spectrum beta-lactamase found in E. coli.
177	1	gb	AF321608	+	0-888	ARO:3003561	Beta-lactamase	Sed1	Sed1 beta-lactamase	class A beta-lactamase found in Citrobacter sedlakii
178	1	gb	NG_035159	+	2373-3519	ARO:3002016	Beta-lactamase	CMY-5	CMY-5	CMY-5 is a beta-lactamase found in Klebsiella oxytoca
179	1	gb	KF203098	+	0-822	ARO:3001512	Beta-lactamase	OXA-324	OXA-324	OXA-324 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.
180	1	gb	JF802084	+	2161-4264	ARO:3002975	Glycopeptide resistance	vanTN	vanTN	vanTN is a vanT variant found in the vanN gene cluster
181	1	gb	NC_007907.1	-	4200836-4202015	ARO:3003726	Glycopeptide resistance	vanSI	vanSI	VanSI is a vanS variant found in the vanI gene cluster; it is a histidine kinase.
182	1	gb	AY590467	+	0-729	ARO:3001110	Beta-lactamase	SHV-53	SHV-53	SHV-53 is a beta-lactamase that has been found in clinical isolates.
183	1	gb	JX268631	+	0-861	ARO:3001091	AMR genes detected in K.pneumoniae	SHV-33	SHV-33	SHV-33 is an broad-spectrum beta-lactamase found in Klebsiella pneumoniae.
184	1	gb	M58515	+	212-872	ARO:3002670	chloramphenicol resistance	cat	cat	"cat is used to describe many variants of the chloramphenicol acetyltransferase gene in a range of organisms including Acinetobacter calcoaceticus, Agrobacterium tumefaciens, Bacillus clausii, Bacillus subtilis, Campylobacter coli, Enterococcus faecalis, Enterococcus faecium, Lactococcus lactis, Listeria monocytogenes, Listonella anguillarum"
185	1	gb	EF685372	+	0-1143	ARO:3002041	Beta-lactamase	CMY-30	CMY-30	CMY-30 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.
186	1	gb	JF273470	+	0-810	ARO:3001766	Beta-lactamase	OXA-192	OXA-192	OXA-192 is a beta-lactamase found in Brachyspira spp.
187	1	gb	AE004091.2	+	4120468-4121107	ARO:3003710	Multidrug efflux pump	mexL	mexL	MexL is a specific repressor of mexJK transcription and autoregulates its own expression.
188	1	gb	X59968	+	507-1686	ARO:3002690	Multidrug efflux pump	cml	Streptomyces lividans cml	cml is a plasmid or chromosome-encoded chloramphenicol exporter that is found in Escherichia coli and Streptomyces lividans
189	1	gb	AB016934	+	7388-8381	ARO:3000449	fosfomycin resistance	FomB	FomB	"An enzyme which on its own cannot provide fosfomycin resistance, however in conjunction with FomA, it leads to the formation of fosfomycin with three phosphates total, which makes it inactive."
190	1	gb	AY306130	+	0-789	ARO:3001796	Beta-lactamase	OXA-50	OXA-50	OXA-50 is a beta-lactamase found in Pseudomonas aeruginosa
191	1	gb	AF064820	+	951-1776	ARO:3001417	Beta-lactamase	OXA-22	OXA-22	OXA-22 is a beta-lactamase found in Ralstonia pickettii
192	1	gb	DQ336355	+	602-1367	ARO:3002640	Aminoglycoside resistance	APH(3'')-Ic	APH(3'')-Ic	APH(3'')-Ic is a chromosomal-encoded aminoglycoside phosphotransferase in M. fortuitum
193	1	gb	DQ322460	+	15-876	ARO:3001139	AMR genes detected in K.pneumoniae	SHV-85	SHV-85	SHV-85 is a broad-spectrum beta-lactamase found in Klebsiella pneumoniae.
194	1	gb	AJ000283	+	619-1849	ARO:3000343	tetracycline resistance	tap	tap	"Efflux pump proteins contained within Mycobacterial genomes which confer resistance to a number of different antibiotics including aminoglycosides, and tetracyclines."
195	1	gb	AE017334	-	1495400-1496297	ARO:3003072	Macrolide resistance	Bacillus	Bacillus Cluster A intrinsic mph	"Bacillus Cluster A mph are chromosomally-encoded macrolide phosphotransferases that inactivate 14- and 15-membered macrolides such as erythromycin, clarithromycin, azithromycin."
196	1	gb	NC002516	+	1221690-1222098	ARO:3000149	fosfomycin resistance	FosA	FosA	"An enzyme that confers resistance to fosfomycin in Serratia marcescens by breaking the epoxide ring of the molecule. It depends on the cofactors Manganese (II) and Potassium and uses Glutathione (GSH) as the nucleophilic molecule. In Pseudomonas aeruginosa, FosA catalyzes the conjugation of glutathione to carbon-1 of fosfomycin, rendering it ineffective as an antibacterial drug."
197	1	gb	M11036	+	0-1377	ARO:3000179	tetracycline resistance	tetL	tetL	TetL is a tetracycline efflux protein found in many species of Gram-negative and Gram-positive bacteria.
198	1	gb	EU250284	+	2574-3564	ARO:3002973	Glycopeptide resistance	vanTmL	vanTmL	vanTmL is a vanT variant found in the vanL gene cluster. vanTmL codes for the membrane-binding domain of vanTL
199	1	gb	AF313472	+	15593-16397	ARO:3002639	Aminoglycoside resistance	APH(3'')-Ib	APH(3'')-Ib	"APH(3'')-Ib is an aminoglycoside phosphotransferase encoded by plasmids, transposons, integrative conjugative elements and chromosomes in Enterobacteriaceae and Pseudomonas spp."
200	1	gb	NC_003112	-	1791966-1795170	ARO:3000811	Multidrug efflux pump	mtrD	mtrD	MtrD is the inner membrane multidrug transporter of the MtrCDE efflux complex.
201	1	gb	U60294	+	0-765	ARO:3003099	Beta-lactamase	cphA2	cphA2	CphA2 is an Ambler Class B MBL; subclass B2 originally isolated from Aeromonas hydrophila. This enzyme has specific activity against carbapenems and is active as a mono-zinc protein
202	1	gb	X53527	+	0-819	ARO:3002638	Aminoglycoside resistance	APH(3'')-Ia	APH(3'')-Ia	APH(3'')-Ia is a chromosomal-encoded aminoglycoside phosphotransferase in S. griseus
203	1	gb	AF162694	+	5877-6963	ARO:3002933	Glycopeptide resistance	vanSC	vanSC	vanSC is a vanS variant found in the vanC gene cluster
204	1	gb	EU155018	+	0-861	ARO:3001150	AMR genes detected in K.pneumoniae	SHV-101	SHV-101	SHV-101 is a beta-lactamase found in Klebsiella pneumoniae.
205	1	gb	FR772051	+	8740-10315	ARO:3002833	Multidrug efflux pump	vgaE	vgaE	vgaE is an efflux protein expressed in staphylococci that confers resistance to streptogramin A antibiotics and related compounds. It is associated with transposon DNA.
206	1	gb	KM233164	+	0-861	ARO:3003152	Beta-lactamase	SHV-185	SHV-185	From the Lahey list of beta-lactamases.
207	1	gb	AJ295340	+	0-1173	ARO:3002515	Beta-lactamase	OCH-2	OCH-2	OCH-2 beta-lactamase is an Ambler class C chromosomal-encoded beta-lactamases in Ochrobactrum anthropi
208	1	gb	JQ340365	+	0-1434	ARO:3003583	polymyxin resistance	PmrB	PmrB	Histidine protein kinase sensor Lipid A modification gene; part of a two-component system involved in polymyxin resistance that senses high extracellular Fe(2+)
209	1	gb	EU408357.1	-	52-1180	ARO:3002489	Beta-lactamase	LRA-10	LRA-10	LRA-10 is a beta-lactamase isolated from soil samples in Alaska
210	1	gb	EU408349	+	107-1025	ARO:3002487	Beta-lactamase	LRA-8	LRA-8	LRA-8 is a beta-lactamase isolated from soil samples in Alaska
211	1	gb	EU408346	-	4825-5713	ARO:3002482	Beta-lactamase	LRA-1	LRA-1	LRA-1 is a beta-lactamase isolated from soil samples in Alaska
212	1	gb	GU127598	+	0-876	ARO:3001952	Beta-lactamase	CTX-M-92	CTX-M-92	CTX-M-92 is a beta-lactamase found in Escherichia coli
213	1	gb	EU408355	+	24321-25482	ARO:3002492	Beta-lactamase	LRA-18	LRA-18	LRA-18 is a beta-lactamase isolated from soil samples in Alaska
214	1	gb	NC_007682	+	20649-22125	ARO:3003109	Multidrug efflux pump	msrE	msrE	MsrE is an ABC-efflux pump expressed to Klebsiella pneumoniae that confers resistance to erythromycin and streptogramin B antibiotics. It is associated with plasmid DNA.
215	1	gb	CP000312	-	1756064-1757774	ARO:3003773	defensin resistance	Clostridium	Clostridium perfringens mprF	"MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane, including defensins."
216	1	gb	X57102	+	147-912	ARO:3003103	Beta-lactamase	cphA7	cphA7	cphA7 is an Ambler Class B MBL; subclass B2 originally isolated from Aeromonas jandaei. This enzyme has specific activity against carbapenems and is active as a mono-zinc protein.
217	1	gb	FJ349556	+	3883-4864	ARO:3002947	Glycopeptide resistance	vanHM	vanHM	vanHM is a vanH variant in the vanM gene cluster
218	1	gb	L22689	+	261-1035	ARO:3000593	Lincosamide resistance	ErmQ	ErmQ	ErmQ confers MLSb phenotype.
219	1	gb	AF055922	+	1787-2630	ARO:3001299	Macrolide resistance	tlrB	tlrB conferring tylosin resistance	"TlrB is a methyltransferase found in Streptomyces fradiae and confers resistance to mycinamicin, tylosin and lincosamides. Specifically, this enzyme adds a methyl group to guanosine 748 (E. coli numbering). TlrB is found in the tylosin biosynthetic cluster and is one mechanism by which S. fradiae protects itself from self-destruction when producing this macrolide."
220	1	gb	DQ212986	+	7787-9926	ARO:3002972	Glycopeptide resistance	vanTG	vanTG	vanTG is a vanT variant found in the vanG gene cluster
221	1	gb	X90856	+	387-1194	ARO:3002645	Aminoglycoside resistance	APH(3')-IIb	APH(3')-IIb	APH(3')-IIb is a chromosomal-encoded aminoglycoside phosphotransferase in P. aeruginosa
222	1	gb	NZ_AGSO01000004	+	76451-77432	ARO:3003071	Macrolide resistance	mphE	mphE	mphE is a macrolide phosphotransferase that phosphorylates macrolides in GTP- dependent manner at 2'-OH hydroxyl of desosamine sugar of macrolides.
223	1	gb	NC_010558	+	116479-117235	ARO:3000860	Aminoglycoside resistance	rmtB	rmtB	"RmtB is a 16S rRNA methyltransferase that targets mature or nearly mature 30S subunits. It transfers a methyl group from S-adenosyl-L-methionine to N7-G1405 of the 16S rRNA, an aminoglycoside binding site."
224	1	gb	NC_002516	+	4705955-4706402	ARO:3000806	Multidrug efflux pump	mexG	mexG	MexG is a membrane protein required for MexGHI-OpmD efflux activity.
225	1	gb	EU523697	+	686-1973	ARO:3000572	tetracycline resistance	tet42	tet42	"Tet42 is a tetracycline efflux pump found in both Gram-negative (Pseudomonas) and Gram-positive (Microbacterium, Bacillus, Staphylococcus, Paenibacillus) bacteria."
226	1	gb	U94857	+	0-996	ARO:3002662	Aminoglycoside resistance	APH(9)-Ia	APH(9)-Ia	APH(9)-Ia is a chromosomal-encoded aminoglycoside phosphotransferase in L. pneumophila
227	1	gb	AB211124	+	0-525	ARO:3002895	streptothricin resistance	sat-1	sat-1	sat-1 is a plasmid-mediated streptothricin acetyltransferase in Escherichia coli
228	1	gb	NC_007682	+	9414-10236	ARO:3002879	Lincosamide resistance	linG	linG	linG is an integron-mediated nucleotidyltransferase found in Salmonella enterica
229	1	gb	NC_005000	+	17463-18111	ARO:3002670	chloramphenicol resistance	cat	cat	"cat is used to describe many variants of the chloramphenicol acetyltransferase gene in a range of organisms including Acinetobacter calcoaceticus, Agrobacterium tumefaciens, Bacillus clausii, Bacillus subtilis, Campylobacter coli, Enterococcus faecalis, Enterococcus faecium, Lactococcus lactis, Listeria monocytogenes, Listonella anguillarum"
230	1	gb	NC_002516	+	472023-473175	ARO:3000377	Multidrug efflux pump	mexA	mexA	MexA is the membrane fusion protein of the MexAB-OprM multidrug efflux complex.
231	1	gb	NG_047417.1	+	0-995	ARO:3002644	Aminoglycoside resistance	APH(3')-IIa	APH(3')-IIa	APH(3')-IIa is a transposon-encoded aminoglycoside phosphotransferase in E. coli
232	1	gb	AJ312056	+	385-1036	ARO:3002670	chloramphenicol resistance	cat	cat	"cat is used to describe many variants of the chloramphenicol acetyltransferase gene in a range of organisms including Acinetobacter calcoaceticus, Agrobacterium tumefaciens, Bacillus clausii, Bacillus subtilis, Campylobacter coli, Enterococcus faecalis, Enterococcus faecium, Lactococcus lactis, Listeria monocytogenes, Listonella anguillarum"
233	1	gb	NC_002516.2	-	4119269-4120373	ARO:3003692	Multidrug efflux pump	mexJ	mexJ	mexJ is the membrane fusion protein of the MexJK multidrug efflux protein.
234	1	gb	AB219524.1	+	4334-5810	ARO:3003700	Multidrug efflux pump	opmE	opmE	opmE is an outer membrane factor protein that is part of the multidrug efflux pump MexPQ-OpmE.
235	1	gb	X15791	+	1375-2257	ARO:3003563	Beta-lactamase	NPS	NPS beta-lactamase	Class A beta lactamase found in Rhodopseudomonas capsulata
236	1	gb	AJ574887.1	-	370-1696	ARO:3003835	Multidrug efflux pump	CdeA	CdeA	Clostridium difficile and Escherichia coli multidrug efflux transporter with antiporter function. Confers resistance to fluoroquinolones in E. coli and acriflavin in C.difficile.
237	1	gb	AY227050	+	130-895	ARO:3003100	Beta-lactamase	cphA4	cphA4	CphA4 is an Ambler Class B MBL; subclass B2 originally isolated from Aeromonas allosaccharophila. This enzyme has specific activity against carbapenems and is active as a mono-zinc protein.
238	1	gb	NC_002516.2	+	5606102-5606435	ARO:3000264	Multidrug efflux pump	emrE	emrE	EmrE is a small multidrug transporter that functions as a homodimer and that couples the efflux of small polyaromatic cations from the cell with the import of protons down an electrochemical gradient. EmrE is found in E. coli and P. aeruginosa.
239	1	gb	AY769962	+	2434-5611	ARO:3000781	Multidrug efflux pump	adeJ	adeJ	AdeJ is a RND efflux protein that acts as the inner membrane transporter of the AdeIJK efflux complex. It has 57% identity with E. coli AcrB.
240	1	gb	JQ711184	+	1026-2172	ARO:3002084	Beta-lactamase	CMY-71	CMY-71	CMY-71 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.
241	1	gb	AB028210	-	2710-3565	ARO:3002544	Aminoglycoside resistance	AAC(3)-Xa	AAC(3)-Xa	AAC(3)-Xa is a chromosomal-encoded aminoglycoside acetyltransferase in Streptomyces griseus
242	1	gb	DQ195535	+	0-1275	ARO:3000866	Macrolide resistance	oleI	oleI	"OleI is a glycosyltransferase found in Streptomyces antibioticus, specifically the oleandomycin biosynthetic cluster. OleI glycosylates oleandomycin to confer self-resistance."
243	1	gb	NG_049281	+	0-861	ARO:3002474	Beta-lactamase	LEN-26	LEN-26	LEN-26 is a beta-lactamase found in Escherichia coli and Klebsiella pneumoniae.
244	1	gb	S82452	+	120-978	ARO:3001068	AMR genes detected in K.pneumoniae	SHV-9	SHV-9	SHV-9 is an extended-spectrum beta-lactamase found in Klebsiella pneumoniae.
245	1	gb	KF421162	+	0-822	ARO:3001546	Beta-lactamase	OXA-359	OXA-359	OXA-359 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.
246	1	gb	KC999080	+	379-1192	ARO:3002359	AMR genes detected in K.pneumoniae	NDM-9	NDM-9	NDM-9 is a beta-lactamase found in Klebsiella pneumoniae.
247	1	gb	X02393	+	96-960	ARO:3003061	viomycin resistance	viomycin	viomycin phosphotransferase	vph is a phosphotransferase that confers resistance to viomycin in Streptomyces vinaceus
248	1	gb	DQ677333	+	0-780	ARO:3002621	Aminoglycoside resistance	aadA24	aadA24	aadA24 is an integron-encoded aminoglycoside nucleotidyltransferase gene in Salmonella spp.
249	1	gb	Z48231	+	220-763	ARO:3002898	streptothricin resistance	sat-3	sat-3	sat-3 is a plasmid-mediated streptothricin acetyltransferase in Escherichia coli
250	1	gb	NC_002516	+	4006509-4007148	ARO:3000819	Multidrug efflux pump	nalD	nalD	NalD is a repressor of MexAB-OprM. Mutations lead to multidrug resistance and MexAB-OprM overexpression.
251	1	gb	AY660529.1	+	0-3902	ARO:3003676	Aminoglycoside resistance	AAC(6')-Ib'	AAC(6')-Ib'	"AAC(6')-Ib' is an aminoglycoside acetyltransferase encoded by plasmids, transposons, integrons in P. aeruginosa and P. fluorescens."
252	1	gb	M19269	+	459-1419	ARO:3001304	Macrolide resistance	ErmS	ErmS	"ErmS is a methyltransferase found in the tylosin producer Streptomyces fradiae. Like other Erm enzymes, it catalyzes the methylation of A2058 of the 23S ribosomal RNA. Specifically, this enzyme transfers two methyl groups. The gene is found within the tylosin biosynthetic cluster and is responsible for self-resistance"
253	1	gb	AJ631966	+	0-810	ARO:3001771	Beta-lactamase	OXA-57	OXA-57	OXA-57 is a beta-lactamase found in Burkholderia pseudomallei
254	1	gb	AM176546	+	0-861	ARO:3001125	Beta-lactamase	SHV-71	SHV-71	SHV-71 is a broad-spectrum beta-lactamase found in Klebsiella pneumoniae and Shigella.
255	1	gb	AM176549	+	30-891	ARO:3001128	AMR genes detected in K.pneumoniae	SHV-74	SHV-74	SHV-74 is a broad-spectrum beta-lactamase found in Klebsiella pneumoniae.
256	1	gb	AF174129	+	6335-7211	ARO:3001872	Beta-lactamase	CTX-M-9	CTX-M-9	CTX-M-9 is a beta-lactamase found in the Enterobacteriaceae family
257	1	gb	AJ416346	+	556-1432	ARO:3001883	Beta-lactamase	CTX-M-21	CTX-M-21	CTX-M-21 is a beta-lactamase found in the Enterobacteriaceae family
258	1	gb	AM180066	+	788-1688	ARO:3000319	Macrolide resistance	mphC	mphC	The mphC gene was identified from Staphylococcus aureus.  This gene shows similarity to mphB gene from Escherchia coli.
259	1	gb	S81599	+	281-1076	ARO:3002651	Aminoglycoside resistance	APH(3')-Vc	APH(3')-Vc	APH(3')-Vc is a chromosomal-encoded aminoglycoside phosphotransferase in M. chalcea
260	1	gb	KF485393.2	+	6723-7632	ARO:3003894	Beta-lactamase	Rm3	Rm3 beta-lactamase	"Rm3 is a class B3 metallo-beta-lactamase isolated from a metagenomic soil sample in Yorkshire, United Kingdom, shown to confer resistance to clinically used penicillins, cephalosporins, and carbapenems."
261	1	gb	GU186045	+	34-754	ARO:3002265	Beta-lactamase	IND-9	IND-9	IND-9 is a beta-lactamase found in Escherichia coli
262	1	gb	AY587956	+	0-774	ARO:3001773	Beta-lactamase	OXA-61	OXA-61	OXA-61 is a beta-lactamase found in Campylobacter jejuni
263	1	gb	NC_005076	+	4149-5628	ARO:3003111	Multidrug efflux pump	lsaB	lsaB	LsaB is an ABC efflux pump expressed in Staphylococcus sciuri. It confers resistance to clindamycin.
264	1	gb	JX440351	+	1026-2172	ARO:3002096	Beta-lactamase	CMY-83	CMY-83	CMY-83 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.
265	1	gb	JX440355	+	751-1897	ARO:3001834	Beta-lactamase	ACT-12	ACT-12	ACT-12 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.
266	1	gb	GQ343019	+	132-1023	ARO:3002999	Beta-lactamase	CblA-1	CblA-1	CblA-1 beta-lactamase is a class A beta-lactamase found in Bacteroides uniformis that is species-specific.
267	1	gb	AY227752	+	88-1234	ARO:3002168	Beta-lactamase	MIR-2	MIR-2	MIR-2 is a beta-lactamase. From the Lahey list of MIR beta-lactamases.
268	1	gb	AB917040	+	736-1135	ARO:3003207	fosfomycin resistance	FosK	FosK	FosK is a fosfomycin thiol transferase isolated from Acinetobacter soli. It is integrin-mediated. It confers a high level of resistance to fosfomycin.
269	1	gb	AY289608	+	1523-2078	ARO:3002588	Aminoglycoside resistance	AAC(6')-I30	AAC(6')-I30	AAC(6')-I30 is an integron-encoded aminoglycoside acetyltransferase in S. enterica
270	1	gb	NC_011586	+	3278907-3280158	ARO:3000780	Multidrug efflux pump	adeI	adeI	AdeI is the membrane fusion protein of the AdeIJK multidrug efflux complex.
271	1	gb	AJ605332	+	1303-1813	ARO:3003016	trimethoprim resistance	dfrA20	dfrA20	dfrA20 is a plasmid-encoded dihydrofolate reductase found in Pasteurella multocida
272	1	gb	AB008454	+	153-1290	ARO:3002493	Beta-lactamase	SRT-1	SRT-1	"SRT-1, isolated from Serratia marcescens, confers resistance to cephalosporins but not carbapenems, penems and monobactams."
273	1	gb	GQ149243	+	0-873	ARO:3001935	Beta-lactamase	CTX-M-74	CTX-M-74	CTX-M-74 is a beta-lactamase found in the Enterobacteriaceae family
274	1	gb	KF478993	+	490-1543	ARO:3002948	Glycopeptide resistance	vanHO	vanHO	vanHO is a vanH variant in the vanO gene cluster
275	1	gb	AL123456	+	1853605-1854388	ARO:3003060	thiostrepton resistance	tsnr	tsnr	tsnr is a 23S ribosomal RNA methyltransferase that methylates adenosine-1067 to confer resistance to thiostrepton
276	1	gb	AY619003	+	703-1510	ARO:3001764	Beta-lactamase	OXA-63	OXA-63	OXA-63 is a beta-lactamase found in Brachyspira spp.
